"","X1","Label","Months.closed","F.Mortality","Selectivity","year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","CatchTotal","RevenueTotal","Biomass","Profit"
"48",48,"11-0.576057-32",1,0.318057,32,7,200507.225593843,152752.991610897,116096.073953281,65592.9256847225,36805.0052527129,20704.9468937062,11791.7264456024,6767.6447807086,3913.54244699149,1919.96983721342,1081.59790233464,609.428110322943,343.456904539578,193.608193945505,109.165737207834,61.5701836941451,34.7366064228435,107.10533534235,142789.945554738,559217.845469225,748323692.857414,92317.6890308957
"49",49,"11-0.576057-32",1,0.318057,32,8,203194.59095395,154910.926496791,118016.233008649,67011.6055834216,37860.7744032422,21244.1507409032,11951.0650758532,6806.28116708141,3906.34004519434,2258.92878166842,1108.22232899268,624.307175626559,351.766901065449,198.246140788283,111.752236648551,63.0113584025124,35.5388147498527,123.644155111222,146569.172201177,574079.896794532,765912388.825257,107179.740356203
"50",50,"11-0.576057-32",1,0.318057,32,9,205775.322674626,156987.172160939,119683.443212688,68119.937130684,38679.6480704,21853.5493492565,12262.2979565789,6898.25273064063,3928.64128413051,2254.77149630941,1303.87221034811,639.67501294732,360.355219529837,203.042738904214,114.429297585772,64.5043070825243,36.3706726055523,142.736839806363,150123.224379361,588288.303958123,782182197.358492,121388.147519794
"51",51,"11-0.576057-32",1,0.318057,32,10,208149.134493595,158981.033183681,121287.540713491,69082.2645274111,39319.386125028,22326.2099426571,12614.0478288657,7077.89890072713,3981.7280245538,2267.64395423778,1301.47259115955,752.605728305615,369.22566120923,207.9999867246,117.197933338402,66.0495286006958,37.2324148221022,164.777748043006,153404.769991082,601526.195604658,797176441.075915,134626.039166329
"52",52,"11-0.576057-32",1,0.318057,32,11,210278.174904261,160815.028876936,122827.988233145,70008.1627544645,39874.8493870979,22695.4719920412,12886.8713980118,7280.93181048067,4085.42126657724,2298.28605598867,1308.90267939778,751.220648439098,434.410195863597,213.120078377393,120.059297417369,67.6476078530055,38.1243293493445,190.222133872086,156423.528165946,613714.484140374,811017757.208473,146814.327702045
"53",53,"11-0.576057-32",1,0.318057,32,12,212186.578899593,162459.915347179,124244.924561458,70897.3216906275,40409.2854338039,23016.0899403181,13100.012479942,7438.40781106306,4202.6135264493,2358.13864530997,1326.58955171703,755.509356278354,433.610716410451,250.745126130129,123.014656291313,69.299210655418,39.0467537940326,219.595550033892,159210.942278126,624937.496372229,823816339.662589,158037.3399339
"54",54,"11-0.576057-32",1,0.318057,32,13,213916.723551181,163934.339174906,125515.756005725,71715.1889546658,40922.5152606378,23324.5708075164,13285.0757879531,7561.43459077723,4293.50996489499,2425.78297839169,1361.13695691489,765.718363969162,436.086193731953,250.28366003604,144.732142285528,71.0050680240134,40.0000724705994,253.504703228248,161792.185436163,635317.75058907,835653067.657117,168417.594150741
"55",55,"11-0.576057-32",1,0.318057,32,14,215498.476528121,165271.040683578,126654.888825132,72448.7232819377,41394.5949499078,23620.8112707665,13463.133473272,7668.25464921776,4364.52203065807,2478.24914778612,1400.1818204841,785.659409451731,441.97891665943,251.712525838737,144.465780273151,83.5405789689697,40.9847073275188,292.649985616392,164182.844993728,644943.848295209,846599312.378916,178043.69185688
"56",56,"11-0.576057-32",1,0.318057,32,15,216948.01696466,166493.095491933,127687.618037483,73106.2400833408,41817.9969767569,23893.2995372865,13634.1258970912,7771.0310048117,4426.17944404739,2519.23789426599,1430.46572354999,808.196424774151,453.489051578693,255.113853818074,145.290533327596,83.3868326319234,48.2203070048008,337.839941392185,166395.593345706,653873.175658705,856733955.212526,186973.019220376
"57",57,"11-0.576057-32",1,0.318057,32,16,218277.274843685,167613.00352195,128631.771755791,73702.3398505073,42197.5210645209,24137.690658022,13791.4083582491,7869.72923355058,4485.50279900541,2554.82705871096,1454.12476402343,825.676541876088,466.497601569981,261.757598047805,147.253807719656,83.8628868558619,48.131563358722,390.007967229102,168445.425844044,662160.604322955,866087216.786229,195260.447884626
"58",58,"11-0.576057-32",1,0.318057,32,17,219490.296220213,168639.981821525,129497.00736018,74247.3131164151,42541.5947366573,24356.7550726281,13932.4729165339,7960.51395945394,4542.47222571224,2589.06898549594,1474.66712148325,839.332733982344,476.587268454482,269.266239740368,151.088631351151,84.9961049289011,48.4063457592339,450.231591550042,170337.805912812,669818.710716133,874845554.524066,202918.554277804
"59",59,"11-0.576057-32",1,0.318057,32,18,220617.549894082,169577.156353474,130290.445897909,74746.7342000376,42856.1577731577,24555.3572167293,14058.9186924252,8041.93757887267,4594.87391371146,2621.95220559801,1494.43184232174,851.189951104132,484.46973448485,275.090078176148,155.42268088819,87.2095965649679,49.0604485205475,519.754730832477,172111.476537402,677007.418843809,883084069.273201,210107.26240548
